"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/14/2026","HYP40220940","Product","Texture Issue","Matte Max Velvet Touch Sunscreen SPF 70+ PA++++","HYPMUBX026F030","","Xpressbees","8_Aug'26","8_Aug Week 2","liveChat"
"8/19/2026","HYP25018550","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 3","instagram"
"8/19/2026","HYP40042310","Product","Texture Issue","ULTRA LIGHT WATER SUNSCREEN SPF 50 PA ++++ FOR UVA-UVB PROTECTION - 50ML","HYPMUBX008F050","","DELHIVERY","8_Aug'26","8_Aug Week 3","whatsapp"
"8/19/2026","HYP40190870","Product","Texture Issue","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP40591720","Product","Texture Issue","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","Blue Dart","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP40591720","Product","Texture Issue","VIP VINTAGE LIP BALM WITH 1% VIT E, 2% SQUALANE & PEPTIDES - 10G","HYPMUBX024F010","","","8_Aug'26","8_Aug Week 3","whatsapp"
"8/20/2026","HYP40659900","Product","Texture Issue","ICE DUNK COOLING FACE MASK 31% COOLING ACTIVES - 50GM","HYPMUBX035F050","","","8_Aug'26","8_Aug Week 3","whatsapp"
"8/21/2026","HYP41495380","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 3","whatsapp"
"8/21/2026","HYP42128510","Product","Texture Issue","SUN MILK 100% MINERAL SUNSCREEN SPF 50 PA++++","HYPMUBX030F050","","Shadowfax","8_Aug'26","8_Aug Week 3","whatsapp"
"8/22/2026","HYP41794180","Product","Texture Issue","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/22/2026","HYP43422190","Product","Texture Issue","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 4","liveChat"
"8/23/2026","HYP40009590","Product","Texture Issue","Matte Max Velvet Touch Sunscreen SPF 70+ PA++++","HYPMUBX026F030","","Blue Dart","8_Aug'26","8_Aug Week 4","whatsapp"
"8/6/2026","HYP42273530","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 1","whatsapp"
"8/22/2026","HYP28876450","Product","Product not Effective","Advanced Glow Serum With 3% Tranexamic Acid & 2% Kojic Acid - 30 ml","HYPMUBX020F030","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42473220","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Pikndel","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42176480","Product","Reacted-Skin Irritation","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP43083330","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Blue Dart","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42972260","Product","Product not Effective","VIP Orchid Lip Balm, 1% Vit E & Peptides- 10g","HYPMUBX042F010","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/20/2026","HYP43602260","Product","Reacted-Acne/Pimples","Advanced Glow Serum With 3% Tranexamic Acid & 2% Kojic Acid - 30 ml","HYPMUBX020F030","","DELHIVERY","8_Aug'26","8_Aug Week 3","liveChat"
"8/23/2026","HYP39784710","Product","Reacted-Acne/Pimples","Clarifying Acne Cleanser with 2% Salicylic Acid - 100 ml","HYPMUBX012F100","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42718400","Product","Product not Effective","7% Ceramides-NMF Face Moisturizer Rich Pillow Cream - 50 ml","HYPMUBX028F050","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/22/2026","ECOMMERCE","Product","Reacted-Acne/Pimples","Clarifying Acne Cleanser with 2% Salicylic Acid - 100 ml","HYPMUBX012F100","","","8_Aug'26","8_Aug Week 4","instagram"
"8/23/2026","HYP42493690","Product","Product not Effective","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/22/2026","HYP42663600","Product","Reacted-Skin Irritation","7% Ceramides-NMF Face Moisturizer Rich Pillow Cream - 50 ml","HYPMUBX028F050","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42409880","Product","Reacted-Acne/Pimples","Ceramides Milky Toner Essence With 5% Rice Water Blend - 100 ml","HYPMUBX027F100","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP40585140","Product","Reacted-Acne/Pimples","Anti Acne Face Serum with 10% Azelaic Acid & 2% Salicylic Acid - 30 ml","HYPMUBX013F030","","Xpressbees","8_Aug'26","8_Aug Week 4","instagram"
